输入query,输入query对应的instruction,输入appname,输入大类,模型原输出,标注输出,是否标注,是否为训练集,,,,,,,,,,,,
YoYo，快帮我查一下我在淘宝网下的订单快递信息。,在淘宝中查看我的快递,淘宝,物流,<Plan>#物流#在$淘宝网$中查看订单快递信息</Plan><Finish>,<Plan>#物流#在$淘宝$中查看订单快递信息</Plan><Finish>,√,0,,,,,,,,,,,,
我想在淘宝商城里查看我的快递物流进度。,在淘宝中查看我的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看快递物流进度</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo，我刚在淘宝下单了，能帮我看看快递到哪了吗？,在淘宝中查看我的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看快递</Plan><Finish>,,√,1,,,,,,,,,,,,
我的快递到哪儿了？帮我在淘宝查一下,在淘宝中查看我的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看快递情况</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，在淘宝买的包裹怎么还没到，能不能帮我查一下快递状态？,在淘宝中查看我的快递,淘宝,物流,<Plan>#物流#查看在$淘宝$中购买的包裹快递状态</Plan><Finish>,<Plan>#物流#在$淘宝$中购买的包裹快递状态</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，快帮我看看淘宝网里我的取件信息在哪？,在淘宝中查看查取件信息,淘宝,物流,<Plan>#物流#在$淘宝$中查看取件信息</Plan><Finish>,,√,1,,,,,,,,,,,,
我想在淘宝商城查看我的取件信息，怎么操作啊？,在淘宝中查看查取件信息,淘宝,物流,<Plan>#物流#在$淘宝$中查看取件信息</Plan><Finish>,,√,0,,,,,,,,,,,,
打开淘宝，帮我查询一下最近的取件通知。,在淘宝中查看查取件信息,淘宝,物流,<Plan>#物流#在$淘宝$中查看最近的取件通知</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，在淘宝网里怎么查看快递的取件信息呢？,在淘宝中查看查取件信息,淘宝,物流,<Plan>#物流#在$淘宝$中查看快递信息</Plan><Finish>,<Plan>#物流#在$淘宝$中查看快递取件信息</Plan><Finish>,√,1,,,,,,,,,,,,
淘宝里的取件详情要到哪里找？告诉我一下。,在淘宝中查看查取件信息,淘宝,物流,<Plan>#物流#在$淘宝$中查看取件详情</Plan><Finish>,,√,0,,,,,,,,,,,,
我想在淘宝网查看待取件的快递，怎么操作呢？,在淘宝中查看查待取件的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看待取件的快递</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，帮我查一下淘宝商城里有哪些待取件的快递吧。,在淘宝中查看查待取件的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看待取件的快递</Plan><Finish>,,√,1,,,,,,,,,,,,
快让我看看我的淘宝订单里的待取件快递！,在淘宝中查看查待取件的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看待取件快递</Plan><Finish>,,√,0,,,,,,,,,,,,
淘宝上的待取快递在哪里看啊？教教我呗～,在淘宝中查看查待取件的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看待取快递</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo助手，直接带我去淘宝查看待取件快递的地方。,在淘宝中查看查待取件的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看待取件快递</Plan><Finish>,,√,0,,,,,,,,,,,,
我想在淘宝网查看派送中的快递信息，能帮我查一下吗？,在淘宝中查看查派送中的快递,淘宝,物流,<Plan>#物流#在$淘宝网$中查看派送中的快递信息</Plan><Finish>,<Plan>#物流#在$淘宝$中查看派送中的快递信息</Plan><Finish>,√,1,,,,,,,,,,,,
YOYO，快帮我看看淘宝商城里有没有正在派送的快递。,在淘宝中查看查派送中的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看正在派送的快递</Plan><Finish>,,√,1,,,,,,,,,,,,
淘宝上那些正在派送的快递要怎么看啊？,在淘宝中查看查派送中的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看正在派送的快递</Plan><Finish>,,√,0,,,,,,,,,,,,
查一下我在淘宝网的待收货订单，哪些是正在派送的。,在淘宝中查看查派送中的快递,淘宝,物流,<Plan>#订单#在$淘宝$中查看待收货订单<br>#物流#查看正在派送的订单</Plan><Finish>,<Plan>#物流#在$淘宝$中查看正在派送的待收货订单</Plan><Finish>,√,0,,,,,,,,,,,,
YOYO助手，我现在想查看淘宝中派送中的快递，请帮我操作一下。,在淘宝中查看查派送中的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看派送中的快递</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，帮我查一下淘宝网里我的运输中的快递！,在淘宝中查看查运输中的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看运输中的快递</Plan><Finish>,,√,0,,,,,,,,,,,,
我想在淘宝商城查看正在运输的包裹，能帮我吗？,在淘宝中查看查运输中的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看正在运输的包裹</Plan><Finish>,,√,0,,,,,,,,,,,,
快帮我打开淘宝，我要看运输中的物流进度！,在淘宝中查看查运输中的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看运输中的物流进度</Plan><Finish>,,√,1,,,,,,,,,,,,
我的快递到哪了？就在淘宝上查运输中的快递！,在淘宝中查看查运输中的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看运输中的快递</Plan><Finish>,,√,1,,,,,,,,,,,,
淘宝里的快递运输中信息在哪看？,在淘宝中查看查运输中的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看快递运输中信息</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，快帮我看看淘宝里待发货的快递有哪些。,在淘宝中查看查待发货的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看待发货的快递</Plan><Finish>,,√,1,,,,,,,,,,,,
我想在淘宝网上查看待发货的快递，能帮我吗？,在淘宝中查看查待发货的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看待发货的快递</Plan><Finish>,,√,0,,,,,,,,,,,,
淘宝商城里的待发货快递信息在哪看啊，你知道吗？,在淘宝中查看查待发货的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看待发货快递信息</Plan><Finish>,,√,0,,,,,,,,,,,,
请帮我查一下我在淘宝网的待发货物流信息。,在淘宝中查看查待发货的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看待发货物流信息</Plan><Finish>,,√,1,,,,,,,,,,,,
哎呀，在淘宝的待发货快递快帮我查一下！,在淘宝中查看查待发货的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看待发货快递</Plan><Finish>,,√,0,,,,,,,,,,,,
我在淘宝网里怎么找不到我的已签收快递信息？,在淘宝中查看已签收的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看已签收快递信息</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，帮我查一下淘宝商城里哪些快递已经显示签收了。,在淘宝中查看已签收的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看已显示签收的快递</Plan><Finish>,,√,1,,,,,,,,,,,,
查看我淘宝账号里最近一个月已签收的包裹列表。,在淘宝中查看已签收的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看最近一个月已签收的包裹列表</Plan><Finish>,,√,0,,,,,,,,,,,,
淘宝上怎么查看所有已签收的快递？有没有快捷方式？,在淘宝中查看已签收的快递,淘宝,物流,<Plan>#物流#在$淘宝$中查看所有已签收的快递</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo助手，我想在淘宝网里筛选出所有已经签收的快递，该怎么操作？,在淘宝中查看已签收的快递,淘宝,物流,<Plan>#物流#在$淘宝网$中查看已经签收的快递</Plan><Finish>,<Plan>#物流#在$淘宝$中查看已经签收的快递</Plan><Finish>,√,0,,,,,,,,,,,,
我想在淘宝网里查一个寄件信息，能帮我查一下吗？,在淘宝中查看查寄件信息,淘宝,物流,<Plan>#物流#在$淘宝$中查看寄件信息</Plan><Finish>,,√,0,,,,,,,,,,,,
YOYO，快帮我查看一下我在淘宝商城的寄件记录。,在淘宝中查看查寄件信息,淘宝,物流,<Plan>#物流#在$淘宝$中查看寄件记录</Plan><Finish>,,√,0,,,,,,,,,,,,
怎么在淘宝上查自己的寄件信息啊？,在淘宝中查看查寄件信息,淘宝,物流,<Plan>#物流#在$淘宝$中查看寄件信息</Plan><Finish>,,√,0,,,,,,,,,,,,
淘宝网的寄件详情在哪里看？有人知道吗？,在淘宝中查看查寄件信息,淘宝,物流,<Plan>#物流#在$淘宝$中查看寄件详情</Plan><Finish>,,√,1,,,,,,,,,,,,
YOYO，我现在需要查看淘宝的寄件信息，你能带我操作一下吗？,在淘宝中查看查寄件信息,淘宝,物流,<Plan>#物流#在$淘宝$中查看寄件信息</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo，在淘宝网里怎么查看待寄出的包裹啊？,在淘宝中查看查待寄出的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看待寄出的包裹</Plan><Finish>,,√,0,,,,,,,,,,,,
我要在淘宝商城查看还没寄出去的快递，教教我方法呗！,在淘宝中查看查待寄出的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看还没寄出去的快递</Plan><Finish>,,√,0,,,,,,,,,,,,
淘宝上那些待寄出的寄件信息在哪里能找到？,在淘宝中查看查待寄出的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看待寄出的寄件信息</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo助手，快帮我查一下淘宝里的待寄件列表！,在淘宝中查看查待寄出的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看待寄件列表</Plan><Finish>,,√,1,,,,,,,,,,,,
在淘宝APP中怎么找到我还没寄出的快递呀？,在淘宝中查看查待寄出的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看还未寄出的快递</Plan><Finish>,,√,1,,,,,,,,,,,,
我想在淘宝网里查看待支付的寄件，帮我操作一下。,在淘宝中查看查待支付的寄件,淘宝,物流,<Plan>#物流#在$淘宝网$中查看待支付的寄件</Plan><Finish>,<Plan>#物流#在$淘宝$中查看待支付的寄件</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，怎么在淘宝商城里找到那些还没付款的寄出快递啊？,在淘宝中查看查待支付的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看还未付款的寄出快递</Plan><Finish>,,√,0,,,,,,,,,,,,
快帮我查查淘宝上有哪些待支付的寄件！,在淘宝中查看查待支付的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看待支付的寄件</Plan><Finish>,,√,1,,,,,,,,,,,,
我在淘宝app里找不到待支付的寄件入口，你能教我吗？,在淘宝中查看查待支付的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看待支付的寄件入口</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo助手，在淘宝网里怎么查看自己还没付钱的包裹呀？,在淘宝中查看查待支付的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看还没付钱的包裹</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo，帮我查一下淘宝待取件的寄件。,在淘宝中查看查待取件的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看待取件的寄件</Plan><Finish>,,√,1,,,,,,,,,,,,
我想在淘宝网查看待取件的寄件信息，可以吗？,在淘宝中查看查待取件的寄件,淘宝,物流,<Plan>#物流#在$淘宝网$中查看待取件的寄件信息</Plan><Finish>,<Plan>#物流#在$淘宝$中查看待取件的寄件信息</Plan><Finish>,√,0,,,,,,,,,,,,
请打开淘宝商城，让我看看我的待取件寄件列表。,在淘宝中查看查待取件的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看待取件寄件列表</Plan><Finish>,,√,0,,,,,,,,,,,,
淘宝里的待取件寄件在哪里找啊？,在淘宝中查看查待取件的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看待取件寄件</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，帮我在淘宝中查看待取件的寄件,在淘宝中查看查待取件的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看待取件的寄件</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo，帮我查一下淘宝网里派送中的寄件都有哪些。,在淘宝中查看派送中的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看派送中的寄件</Plan><Finish>,,√,0,,,,,,,,,,,,
我想在淘宝商城查看正在派送的寄件包裹，能教我怎么操作吗？,在淘宝中查看派送中的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看正在派送的寄件包裹</Plan><Finish>,,√,1,,,,,,,,,,,,
快帮我打开淘宝，我要看下我的寄件哪些正在派送！,在淘宝中查看派送中的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看寄件物流情况</Plan><Finish>,<Plan>#物流#在$淘宝$中查看派送中寄件物流情况</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，我在淘宝上寄出的东西现在到哪了？查看一下派送中信息。,在淘宝中查看派送中的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看派送中信息</Plan><Finish>,<Plan>#物流#在$淘宝$中查看派送中寄件信息</Plan><Finish>,√,0,,,,,,,,,,,,
淘宝app里怎么查派送中的寄件啊，有办法吗？,在淘宝中查看派送中的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看派送中的寄件</Plan><Finish>,,√,1,,,,,,,,,,,,
我想在淘宝网查看我运输中的寄件，你能帮我吗？,在淘宝中查看运输中的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看运输中的寄件</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo，快帮我查一下淘宝商城里我有哪些寄出包裹正在运输中！,在淘宝中查看运输中的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看寄出包裹的物流情况</Plan><Finish>,<Plan>#物流#在$淘宝$中查看运输中寄出包裹的物流情况</Plan><Finish>,√,0,,,,,,,,,,,,
淘宝上怎么查看我现在正在途中的寄出的快递呀？,在淘宝中查看运输中的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看我现在正在途中的寄出的快递</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo助手，请立即带我进入淘宝的运输中寄件页面！,在淘宝中查看运输中的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中进入运输中寄件页面</Plan><Finish>,,√,0,,,,,,,,,,,,
哎呀，我在淘宝寄的东西到哪了？快帮我看看运输中的物流进展！,在淘宝中查看运输中的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看运输中的物流进展</Plan><Finish>,<Plan>#物流#在$淘宝$中查看运输中的寄件物流进展</Plan><Finish>,√,1,,,,,,,,,,,,
我想在淘宝网上查看已经签收的寄件包裹，怎么操作呢？,在淘宝中查看已签收的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看已经签收的寄件包裹</Plan><Finish>,,√,1,,,,,,,,,,,,
YOYO，帮我查一下淘宝商城里那些已经显示签收的寄件快递信息。,在淘宝中查看已签收的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看已签收的寄件快递信息</Plan><Finish>,,√,0,,,,,,,,,,,,
查看已签收的寄件信息，应该去淘宝的哪找？,在淘宝中查看已签收的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看已签收的寄件信息</Plan><Finish>,,√,0,,,,,,,,,,,,
淘宝的已签收寄件快递在哪里能看得到啊？,在淘宝中查看已签收的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看已签收寄件快递</Plan><Finish>,,√,0,,,,,,,,,,,,
YOYO助手，快告诉我怎么在淘宝网里找到已经签收的寄件记录！,在淘宝中查看已签收的寄件,淘宝,物流,<Plan>#物流#在$淘宝$中查看已签收的寄件记录</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo，帮我查一下京东商城的快递。,在京东中查快递,京东,物流,<Plan>#物流#在$京东$中查看快递</Plan><Finish>,,√,0,,,,,,,,,,,,
我想在京东查看我的快递物流信息。,在京东中查快递,京东,物流,<Plan>#物流#在$京东$中查看快递物流信息</Plan><Finish>,,√,0,,,,,,,,,,,,
京东JD的快递到哪了？,在京东中查快递,京东,物流,<Plan>#物流#在$京东$中查看快递</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo助手，在京东商城里怎么查快递呀？,在京东中查快递,京东,物流,<Plan>#物流#在$京东$中查看快递</Plan><Finish>,,√,0,,,,,,,,,,,,
京东上的包裹物流信息怎么查？,在京东中查快递,京东,物流,<Plan>#物流#在$京东$中查看包裹物流信息</Plan><Finish>,,√,1,,,,,,,,,,,,
我在京东商城下单的包裹到哪了？,在京东中查我收快递,京东,物流,<Plan>#物流#在$京东$中查看下单的包裹位置</Plan><Finish>,<Plan>#物流#在$京东$中查看下单的包裹</Plan><Finish>,√,1,,,,,,,,,,,,
帮我查一下在JD上买的快递物流信息。,在京东中查我收快递,京东,物流,<Plan>#物流#在$京东$中查看快递物流信息</Plan><Finish>,,√,0,,,,,,,,,,,,
京东商城里我买的快递帮我查一下？,在京东中查我收快递,京东,物流,<Plan>#物流#在$京东$中查看快递</Plan><Finish>,,√,0,,,,,,,,,,,,
去京东上看下我要收的快递。,在京东中查我收快递,京东,物流,<Plan>#物流#在$京东$中查看我要收的快递</Plan><Finish>,,√,1,,,,,,,,,,,,
我的京东账号里是不是有要收的快递？帮我查一下,在京东中查我收快递,京东,物流,<Plan>#物流#在$京东$中查看要收的快递</Plan><Finish>,,√,0,,,,,,,,,,,,
我在京东商城里有一个我买的快递显示待揽件，怎么查啊？,在京东中查待揽件我收快递,京东,物流,<Plan>#物流#在$京东$中查看待揽件的快递</Plan><Finish>,,√,0,,,,,,,,,,,,
YOYO，帮我查一下京东上我买的那个待揽件的快递信息。,在京东中查待揽件我收快递,京东,物流,<Plan>#物流#在$京东$中查看待揽件的快递信息</Plan><Finish>,,√,1,,,,,,,,,,,,
京东JD里我买的那个快递是不是待揽件？帮我查一下,在京东中查待揽件我收快递,京东,物流,<Plan>#物流#在$京东$中查看待揽件快递</Plan><Finish>,,√,0,,,,,,,,,,,,
我的快递在京东显示待揽件，帮我确认一下？,在京东中查待揽件我收快递,京东,物流,<Plan>#物流#在$京东$中查看快递待揽件状态</Plan><Finish>,,√,0,,,,,,,,,,,,
YOYO，我想在京东查看我买的待揽件的快递，怎么操作？,在京东中查待揽件我收快递,京东,物流,<Plan>#物流#在$京东$中查看待揽件的快递</Plan><Finish>,,√,1,,,,,,,,,,,,
我在京东买的包裹显示运输中，怎么查快递物流信息？,在京东中查运输中我收快递,京东,物流,<Plan>#物流#查看在$京东$中购买的包裹物流信息</Plan><Finish>,<Plan>#物流#在$京东$中查看运输中包裹信息</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，帮我查一下我买的京东订单的运输中的快递状态。,在京东中查运输中我收快递,京东,物流,<Plan>#物流#在$京东$中查看运输中的快递状态</Plan><Finish>,,√,0,,,,,,,,,,,,
京东商城里我买的快递运输到哪了，能查一下吗？,在京东中查运输中我收快递,京东,物流,<Plan>#物流#在$京东$中查看快递运输位置</Plan><Finish>,,√,0,,,,,,,,,,,,
查看我京东里正在运输的快递。,在京东中查运输中我收快递,京东,物流,<Plan>#物流#在$京东$中查看正在运输的快递</Plan><Finish>,,√,1,,,,,,,,,,,,
京东下单后快递已发出，帮我追踪一下物流进度呗。,在京东中查运输中我收快递,京东,物流,<Plan>#物流#查看$京东$中已购买商品的物流情况</Plan><Finish>,<Plan>#物流#在$京东$中查看已发出快递物流进度</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo帮我查一下京东上我正在派送的快递。,在京东中查派送中我收快递,京东,物流,<Plan>#物流#在$京东$中查看正在派送的快递</Plan><Finish>,,√,1,,,,,,,,,,,,
京东商城里有显示派送中的快递吗？,在京东中查派送中我收快递,京东,物流,<Plan>#物流#在$京东$中查看派送中的快递</Plan><Finish>,,√,0,,,,,,,,,,,,
快帮我看看京东app上我有哪些快递正在派送中。,在京东中查派送中我收快递,京东,物流,<Plan>#物流#在$京东$中查看正在派送中的快递</Plan><Finish>,,√,0,,,,,,,,,,,,
京东的物流信息怎么查啊，我有个快递应该在派送中。,在京东中查派送中我收快递,京东,物流,<Plan>#物流#查看$京东$中已购买商品的物流情况</Plan><Finish>,<Plan>#物流#在$京东$中查看派送中物流信息</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，打开京东查看我最近的派送中快递！,在京东中查派送中我收快递,京东,物流,<Plan>#物流#在$京东$中查看我最近的派送中快递</Plan><Finish>,,√,1,,,,,,,,,,,,
我在京东商城下单的包裹有已签收的吗？帮我查一下快递信息,在京东中查已签收我收快递,京东,物流,<Plan>#物流#查看在$京东$中已签收的包裹<br>#物流#查看在$京东$中包裹的快递信息</Plan><Finish>,<Plan>#物流#在$京东$中查看已签收的包裹信息</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，帮我查一下京东上我最近已签收的快递单号。,在京东中查已签收我收快递,京东,物流,<Plan>#物流#在$京东$中查看已签收的快递单号</Plan><Finish>,,√,1,,,,,,,,,,,,
京东JD上那些已经显示签收的订单，怎么查看物流详情啊？,在京东中查已签收我收快递,京东,物流,<Plan>#物流#在$京东$中查看已经显示签收的订单的物流详情</Plan><Finish>,,√,0,,,,,,,,,,,,
有没有办法在京东APP里快速找到已签收的快递信息？,在京东中查已签收我收快递,京东,物流,<Plan>#物流#在$京东$中查看已签收的快递信息</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，京东商城里怎么查我已签收的包裹记录？,在京东中查已签收我收快递,京东,物流,<Plan>#物流#在$京东$中查看已签收的包裹记录</Plan><Finish>,,√,1,,,,,,,,,,,,
我在京东商城取消的快递里还有退货记录吗？,在京东中查已取消我收快递,京东,物流,<Plan>#物流#在$京东$中查看取消的快递记录</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，帮我查查京东上我之前取消的快递收货信息。,在京东中查已取消我收快递,京东,物流,<Plan>#物流#在$京东$中查看之前取消的快递收货信息</Plan><Finish>,,√,0,,,,,,,,,,,,
京东JD里面有没有显示我最近取消的快递单号？,在京东中查已取消我收快递,京东,物流,<Plan>#物流#在$京东$中查看最近取消的快递单号</Plan><Finish>,,√,0,,,,,,,,,,,,
我的订单状态在哪看？就是在京东取消的那些快递！,在京东中查已取消我收快递,京东,物流,<Plan>#物流#在$京东$中查看取消的快递状态</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo，我想找找在京东取消的快递，能帮我筛选出来吗？,在京东中查已取消我收快递,京东,物流,<Plan>#物流#在$京东$中查看取消的快递</Plan><Finish>,,√,1,,,,,,,,,,,,
我在京东商城下单的包裹被拒收了，怎么查？,在京东中查已拒收我收快递,京东,物流,<Plan>#物流#查看$京东$商城下单的包裹物流情况</Plan><Finish>,<Plan>#物流#在$京东$商城查看已拒收包裹</Plan><Finish>,√,1,,,,,,,,,,,,
YOYO，帮我查查京东上我有没有拒收的快递信息。,在京东中查已拒收我收快递,京东,物流,<Plan>#物流#在$京东$中查看拒收的快递信息</Plan><Finish>,,√,0,,,,,,,,,,,,
京东JD站点里我能查看自己拒收过的快递吗？,在京东中查已拒收我收快递,京东,物流,<Plan>#物流#在$京东$中查看拒收过的快递</Plan><Finish>,,√,1,,,,,,,,,,,,
查一下我在京东商城哪些快递显示已拒收。,在京东中查已拒收我收快递,京东,物流,<Plan>#物流#在$京东$中查看已拒收的快递</Plan><Finish>,,√,0,,,,,,,,,,,,
我的京东快递被拒收了，怎么找到这些快递信息？,在京东中查已拒收我收快递,京东,物流,<Plan>#物流#查看京东快递信息</Plan><Finish>,<Plan>#物流#在$京东$查看已拒收快递信息</Plan><Finish>,√,0,,,,,,,,,,,,
京东商城里怎么查我收快递的已揽件信息？,在京东中查已揽件我收快递,京东,物流,<Plan>#物流#在$京东$中查看已揽件信息</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，帮我打开京东APP里的快递已揽件页面。,在京东中查已揽件我收快递,京东,物流,<Plan>#物流#在$京东$中查看快递已揽件</Plan><Finish>,,√,1,,,,,,,,,,,,
在京东上哪里可以查看我收快递的已揽件状态？,在京东中查已揽件我收快递,京东,物流,<Plan>#物流#在$京东$中查看已揽件状态</Plan><Finish>,,√,0,,,,,,,,,,,,
京东商城我的快递里面有没有显示已揽件的信息？,在京东中查已揽件我收快递,京东,物流,<Plan>#物流#在$京东$中查看快递是否已揽件</Plan><Finish>,,√,0,,,,,,,,,,,,
在京东查一下已揽件的我收快递,在京东中查已揽件我收快递,京东,物流,<Plan>#物流#在$京东$中查看已揽件的快递</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo，帮我查一下我在京东寄出的快递单号。,在京东中查我寄快递,京东,物流,<Plan>#物流#在$京东$中查看快递单号</Plan><Finish>,<Plan>#物流#在$京东$中查看寄出的快递单号</Plan><Finish>,√,1,,,,,,,,,,,,
我想在京东商城里查我之前寄过的快递信息，能帮我找一下吗？,在京东中查我寄快递,京东,物流,<Plan>#物流#在$京东$中查看之前寄过的快递信息</Plan><Finish>,,√,0,,,,,,,,,,,,
JD上怎么查看我自己寄出的快递记录？,在京东中查我寄快递,京东,物流,<Plan>#物流#在$京东$中查看我自己寄出的快递记录</Plan><Finish>,,√,0,,,,,,,,,,,,
我在京东寄了一个包裹，现在想查物流信息，应该怎么操作？,在京东中查我寄快递,京东,物流,<Plan>#物流#查看已购买商品的物流信息</Plan><Finish>,<Plan>#物流#查看寄出包裹的物流信息</Plan><Finish>,√,0,,,,,,,,,,,,
嘿，YoYo，快帮我查查我在京东上的快递。,在京东中查我寄快递,京东,物流,<Plan>#物流#在$京东$上查看快递</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo，帮我查一下京东里我寄快递的待揽件信息。,在京东中查待揽件我寄快递,京东,物流,<Plan>#物流#在$京东$中查看待揽件信息</Plan><Finish>,<Plan>#物流#在$京东$中查看寄出快递待揽件信息</Plan><Finish>,√,1,,,,,,,,,,,,
我想在京东商城查看我寄出去的快递，现在有哪些是待揽件的？,在京东中查待揽件我寄快递,京东,物流,<Plan>#物流#在$京东$中查看待揽件的快递</Plan><Finish>,<Plan>#物流#在$京东$中查看待揽件的寄出快递</Plan><Finish>,√,0,,,,,,,,,,,,
京东APP里面怎么查我寄快递的待揽件啊？,在京东中查待揽件我寄快递,京东,物流,<Plan>#物流#在$京东$中查看待揽件快递</Plan><Finish>,<Plan>#物流#在$京东$中查看待揽件的寄出快递</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，我刚在JD下单寄快递，现在状态显示是待揽件，能帮我确认一下吗？,在京东中查待揽件我寄快递,京东,物流,<Plan>#物流#在$京东$中查看订单物流状态</Plan><Finish>,<Plan>#物流#在$京东$中查看待揽件的寄出快递</Plan><Finish>,√,1,,,,,,,,,,,,
有没有办法在京东上快速找到我寄快递的待揽件快递？,在京东中查待揽件我寄快递,京东,物流,<Plan>#物流#在$京东$中查看待揽件快递</Plan><Finish>,<Plan>#物流#在$京东$中查看待揽件的寄出快递</Plan><Finish>,√,0,,,,,,,,,,,,
帮我查一下京东上我寄的快递到哪了，运输中的。,在京东中查运输中我寄快递,京东,物流,<Plan>#物流#在$京东$中查看运输中的快递</Plan><Finish>,<Plan>#物流#在$京东$中查看运输中的我寄快递</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo，快帮我看看京东里面我寄的正在运输中的快递信息。,在京东中查运输中我寄快递,京东,物流,<Plan>#物流#在$京东$中查看正在运输中的快递信息</Plan><Finish>,<Plan>#物流#在$京东$中查看我寄的运输中的快递信息</Plan><Finish>,√,0,,,,,,,,,,,,
京东商城的快递运输中状态在哪里可以查看？我想查看我寄出的快递的状态,在京东中查运输中我寄快递,京东,物流,<Plan>#物流#在$京东$中查看我寄出的快递状态</Plan><Finish>,,√,1,,,,,,,,,,,,
