类型,轮次,query,plan,reply,assistant,app,大类,origin_instruct,责任人,tag,,,,,,,,,,,,,
单轮-多任务,1,打开唯品会我收藏的貂皮，再评价下风衣给五星好评就写特别防风好用上传衣服图片,"在$唯品会$中打开我收藏的貂皮
  在$唯品会$中评价风衣给五星好评写特别防风好用上传衣服图片","完成
完成",好的,"唯品会
 唯品会","收藏
评价","在唯品会中收藏<搜索内容>
在唯品会中评价<搜索内容>订单，星级为<星级>，评价内容为<文本内容>，并上传图片",,,,,,,,,,,,,,,
单轮-多任务,1,去得物搜一下德训鞋再去转转也搜一下,"在$得物$中搜索一下德训鞋
  在$转转$中搜索一下德训鞋","完成
完成",好的,"得物
 转转","搜索
搜索","在得物中搜索<搜索内容>
在转转中搜索<搜索内容>",,,,,,,,,,,,,,,
单轮-多任务,1,分别在得物和转转中打开海澜之家的评论,"在$得物$中打开海澜之家的评论
  在$转转$中打开海澜之家的评论","完成
完成",好的,"得物
 转转","打开
打开","在得物中打开<搜索内容>的评论
在转转中打开<搜索内容>的评论",,,,,,,,,,,,,,,
单轮-多任务,1,打开得物和转转的衬衫的规格,"在$得物$中打开衬衫的规格
  在$转转$中打开衬衫的规格","完成
完成",好的,"得物
 转转","打开
打开","在得物中打开<搜索内容>的规格
在转转中打开<搜索内容>的规格",,,,,,,,,,,,,,,
单轮-多任务,1,打开得物球鞋的参数转转的也打开一下,"在$得物$中打开球鞋的参数
  在$转转$中打开球鞋的参数","完成
完成",好的,"得物
 转转","打开
打开","在得物中打开<搜索内容>的参数
在转转中打开<搜索内容>的参数",,,,,,,,,,,,,,,
单轮-多任务,1,去得物打开登山包的详情再去转转看看详情,"在$得物$中打开登山包的详情
  在$转转$中查看登山包的详情","完成
完成",好的,"得物
 转转","打开
打开","在得物中打开<搜索内容>的详情
在转转中打开<搜索内容>的详情",,,,,,,,,,,,,,,
单轮-多任务,1,去抖音商城看看扇子送到家的时间再去抖音极速版看一下,"在$抖音$中的商城查看扇子送到家的时间
  在$抖音极速版$中查看扇子送到家的时间","完成
完成",好的,"抖音
 抖音极速版","搜索
搜索","在抖音的商城中查看<搜索内容>送达<地址>的时间
在抖音极速版的商城中查看<搜索内容>送达<地址>的时间",,,,,,,,,,,,,,,
单轮-多任务,1,把钢铁侠手办加入抖音商城和抖音极速版商城的购物车,"在$抖音$中的商城把钢铁侠手办加入购物车
  在$抖音极速版$中的商城把钢铁侠手办加入购物车","完成
完成",好的,"抖音
 抖音极速版","购物车
购物车","在抖音的商城中加入购物车<搜索内容>
在抖音极速版的商城中加入购物车<搜索内容>",,,,,,,,,,,,,,,
单轮-多任务,1,在抖音商城加入购物车m码的短袖，抖音极速版也一样加入,"在$抖音$中的商城加入购物车m码的短袖
  在$抖音极速版$中加入购物车m码的短袖","完成
完成",好的,"抖音
 抖音极速版","购物车
购物车","在抖音的商城中加入购物车<规格>的<搜索内容>
在抖音极速版的商城中加入购物车<规格>的<搜索内容>",,,,,,,,,,,,,,,
单轮-多任务,1,去抖音商城购物车加入3瓶啤酒在加到抖音极速版商城购物车中,"在$抖音$中的商城加入购物车3瓶啤酒
  在$抖音极速版$中的商城加入购物车3瓶啤酒","完成
完成",好的,"抖音
 抖音极速版","购物车
购物车","在抖音的商城中加入购物车<数量>的<搜索内容>
在抖音极速版的商城中加入购物车<数量>的<搜索内容>",,,,,,,,,,,,,,,
单轮-多任务,1,打开抖音商城把卷尺加入购物车送到新疆，再去抖音极速版一样操作,"在$抖音$中的商城把卷尺加入购物车送到新疆
  在$抖音极速版$中把卷尺加入购物车送到新疆","完成
完成",好的,"抖音
 抖音极速版","购物车
购物车","在抖音的商城中加入购物车<搜索内容>送至<地址>
在抖音极速版的商城中加入购物车<搜索内容>送至<地址>",,,,,,,,,,,,,,,
单轮-多任务,1,去快手关注商城的小米旗舰店，再去快手极速版商城关注,"在$快手$中的商城关注小米旗舰店
  在$快手极速版$中的商城关注小米旗舰店","完成
完成",好的,"快手
 快手极速版","收藏
收藏","在快手中关注商城中的<店铺名>店铺
在快手极速版中关注商城中的<店铺名>店铺",,,,,,,,,,,,,,,
单轮-多任务,1,在快手商城按销量筛选皮鞋，在快手极速版商城也筛选一遍,"在$快手$中的商城按销量筛选皮鞋
  在$快手极速版$中的商城按销量筛选皮鞋","完成
完成",好的,"快手
 快手极速版","搜索
搜索","在快手中搜索商城中的<搜索内容>筛选<筛选条件>
在快手极速版中搜索商城中的<搜索内容>筛选<筛选条件>",,,,,,,,,,,,,,,
单轮-多任务,1,在快手商城和快手极速版商城查看硬盘订单的物流单号,"在$快手$中的商城查看硬盘订单的物流单号
  在$快手极速版$中的商城查看硬盘订单的物流单号","完成
完成",好的,"快手
 快手极速版","物流
物流","在快手中查看商城<搜索内容>订单的物流单号
在快手极速版中查看商城<搜索内容>订单的物流单号",,,,,,,,,,,,,,,
单轮-多任务,1,拨打快手商城投影仪订单的电话，快手极速版的也要打一下,"在$快手$中的商城拨打投影仪订单的电话
  在$快手极速版$中拨打投影仪订单的电话","完成
完成",好的,"快手
 快手极速版","物流
物流","在快手中拨打商城<搜索内容>订单的快递电话
在快手极速版中拨打商城<搜索内容>订单的快递电话",,,,,,,,,,,,,,,
单轮-多任务,1,我需要催快手和快手极速版商城鱼肉罐头的订单发货,"在$快手$中催鱼肉罐头的订单发货
  在$快手极速版$中的商城催鱼肉罐头的订单发货","完成
完成",好的,"快手
 快手极速版","物流
物流","在快手中给商城<搜索内容>订单催发货
在快手极速版中给商城<搜索内容>订单催发货",,,,,,,,,,,,,,,
单轮-多任务,1,去淘宝给我下单两瓶咖啡粉再去京东也下单两瓶,"在$淘宝$中下单两瓶咖啡粉
  在$京东$中下单两瓶咖啡粉","完成
完成",好的,"淘宝
 京东","下单
下单","在淘宝中下单<数量>的<搜索内容>
在京东中下单<数量>的<搜索内容>",,,,,,,,,,,,,,,
单轮-多任务,1,在淘宝和京东分别下单红肠送到西安,"在$淘宝$中下单红肠送到西安
  在$京东$中下单红肠送到西安","完成
完成",好的,"淘宝
 京东","下单
下单","在淘宝中下单<搜索内容>送至<地址>
在京东中下单<搜索内容>送至<地址>",,,,,,,,,,,,,,,
单轮-多任务,1,帮我在淘宝下单卤蛋用微信支付再去京东下单,"在$淘宝$中下单卤蛋使用微信支付
  在$京东$中下单卤蛋使用微信支付","完成
完成",好的,"淘宝
 京东","下单
下单","在淘宝中用<支付方式>下单<搜索内容>
在京东中用<支付方式>下单<搜索内容>",,,,,,,,,,,,,,,
单轮-多任务,1,在淘宝和京东同样下单5个小型抱枕用支付宝支付送到小区的菜鸟驿站,"在$淘宝$中下单5个小型抱枕使用支付宝支付送到小区的菜鸟驿站
  在$京东$中下单5个小型抱枕使用支付宝支付送到小区的菜鸟驿站","完成
完成",好的,"淘宝
 京东","下单
下单","在淘宝中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>
在京东中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>",,,,,,,,,,,,,,,
单轮-多任务,1,去淘宝收藏水晶手链还要在京东收藏同样的,"在$淘宝$中收藏水晶手链
  在$京东$中收藏水晶手链","完成
完成",好的,"淘宝
 京东","收藏
收藏","在淘宝中收藏<搜索内容>
在京东中收藏<搜索内容>",,,,,,,,,,,,,,,
单轮-多任务,1,打开天猫我要评价下躺椅的订单在去抖音火山版评价一下,"在$天猫$中评价躺椅的订单
  在$抖音火山版$中评价躺椅的订单","完成
完成",好的,"天猫
 抖音火山版","评价
评价","在天猫中评价<搜索内容>订单
在抖音火山版中评价商城<搜索内容>订单",,,,,,,,,,,,,,,
单轮-多任务,1,去天猫五星好评运动裤订单也要去抖音火山版好评,"在$天猫$中五星好评运动裤订单
  在$抖音火山版$中五星好评运动裤订单","完成
完成",好的,"天猫
 抖音火山版","评价
评价","在天猫中评价<搜索内容>订单且星级为<星级>
在抖音火山版中评价商城<搜索内容>订单且星级为<星级>",,,,,,,,,,,,,,,
单轮-多任务,1,我要去天猫和抖音火山版商城评价手纸订单文案就写很柔软,"在$天猫$中评价手纸订单文案写很柔软
  在$抖音火山版$中评价手纸订单文案写很柔软","完成
完成",好的,"天猫
 抖音火山版","评价
评价","在天猫中评价<搜索内容>订单且评价内容为<文本内容>
在抖音火山版中评价商城<搜索内容>订单且评价内容为<文本内容>",,,,,,,,,,,,,,,
单轮-多任务,1,去天猫评价裙子订单上传图片再去抖音火山版评价上传,"在$天猫$中评价裙子订单上传图片
  在$抖音火山版$中评价裙子订单上传图片","完成
完成",好的,"天猫
 抖音火山版","评价
评价","在天猫中评价<搜索内容>订单并上传图片
在抖音火山版中评价商城<搜索内容>订单并上传图片",,,,,,,,,,,,,,,
单轮-多任务,1,我需要去天猫和抖音火山版商城5星评价手机壳订单就写手机壳非常好看还要上传图片,"在$天猫$中5星评价手机壳订单，评价内容写手机壳非常好看，上传图片
  在$抖音火山版$中的商城5星评价手机壳订单写手机壳非常好看，上传图片","完成
完成",好的,"天猫
 抖音火山版","评价
评价","在天猫中评价<搜索内容>订单，星级为<星级>，评价内容为<文本内容>，并上传图片
在抖音火山版中评价商城<搜索内容>订单，星级为<星级>，评价内容为<文本内容>，并上传图片",,,,,,,,,,,,,,,
单轮-多任务,1,去阿里巴巴和唯品会中催头绳发货,"在$阿里巴巴$中催头绳发货
  在$唯品会$中催头绳发货","完成
完成",好的,"阿里巴巴
 唯品会","物流
物流","在阿里巴巴中给<搜索内容>订单催发货
在唯品会中给<搜索内容>订单催发货",,,,,,,,,,,,,,,
单轮-多任务,1,打开阿里巴巴球拍订单催下配送，再去唯品会催一下,"在$阿里巴巴$中打开球拍订单催配送
  在$唯品会$中打开球拍订单催配送","完成
完成",好的,"阿里巴巴
 唯品会","物流
物流","在阿里巴巴中给<搜索内容>订单催配送
在唯品会中给<搜索内容>订单催配送",,,,,,,,,,,,,,,
单轮-多任务,1,我要去阿里巴巴确认游戏机订单收货还要去唯品会确认,"在$阿里巴巴$中确认游戏机订单收货
  在$唯品会$中确认游戏机订单收货","完成
完成",好的,"阿里巴巴
 唯品会","物流
物流","在阿里巴巴中给<搜索内容>订单确认收货
在唯品会中给<搜索内容>订单确认收货",,,,,,,,,,,,,,,
单轮-多任务,1,在阿里巴巴和唯品会给水管订单申请下售后,"在$阿里巴巴$中给水管订单申请售后
  在$唯品会$中给水管订单申请售后","完成
完成",好的,"阿里巴巴
 唯品会","订单
订单","在阿里巴巴中给<搜索内容>订单申请售后
在唯品会中给<搜索内容>订单申请售后",,,,,,,,,,,,,,,
单轮-多任务,1,去阿里巴巴给电脑订单申请售后保修原因就写屏幕坏点，唯品会里也一样,"在$阿里巴巴$中给电脑订单申请售后保修原因写屏幕坏点
  在$唯品会$中给电脑订单申请售后保修原因写屏幕坏点","完成
完成",好的,"阿里巴巴
 唯品会","订单
订单","在阿里巴巴中给<搜索内容>订单申请<售后类型>且原因为<原因>
在唯品会中给<搜索内容>订单申请<售后类型>且原因为<原因>",,,,,,,,,,,,,,,
单轮-多任务,1,我要在转转和得物中打开扳手的规格,"在$转转$中打开扳手的规格
  在$得物$中打开扳手的规格","完成
完成",好的,"转转
 得物","打开
打开","在转转中打开<搜索内容>的规格
在得物中打开<搜索内容>的规格",,,,,,,,,,,,,,,
单轮-多任务,1,打开转转扫地机器人的参数，再去得物中打开一下,"在$转转$中打开扫地机器人的参数
  在$得物$中打开扫地机器人的参数","完成
完成",好的,"转转
 得物","打开
打开","在转转中打开<搜索内容>的参数
在得物中打开<搜索内容>的参数",,,,,,,,,,,,,,,
单轮-多任务,1,我需要在转转和得物分别打开苹果手机的详情,"在$转转$中打开苹果手机的详情
  在$得物$中打开苹果手机的详情","完成
完成",好的,"转转
 得物","打开
打开","在转转中打开<搜索内容>的详情
在得物中打开<搜索内容>的详情",,,,,,,,,,,,,,,
单轮-多任务,1,去转转看看摄像机送到贵州的时间，我还想在得物中看一下,"在$转转$中查看摄像机送到贵州的时间
  在$得物$中查看摄像机送到贵州的时间","完成
完成",好的,"转转
 得物","搜索
搜索","在转转中查看<搜索内容>送达<地址>的时间
在得物中查看<搜索内容>送达<地址>的时间",,,,,,,,,,,,,,,
单轮-多任务,1,我要在转转中把Switch加入购物车，还要在得物也下单,"在$转转$中把Switch加入购物车
  在$得物$中把Switch下单","完成
完成",好的,"转转
 得物","购物车
下单","在转转中加入购物车<搜索内容>
在得物中下单<搜索内容>",,,,,,,,,,,,,,,
单轮-多任务,1,去抖音火山版联系商城nike店的店铺客服，阿里巴巴也一样,"在$抖音火山版$中联系商城nike店的店铺客服
  在$阿里巴巴$中联系商城nike店的店铺客服","完成
完成",好的,"抖音火山版
 阿里巴巴","客服
客服","在抖音火山版中联系商城<店铺>店铺的店铺客服
在阿里巴巴中联系<店铺>店铺的店铺客服",,,,,,,,,,,,,,,
单轮-多任务,1,打开抖音火山版联系商城飞盘订单的店铺客服，我还要去阿里巴巴也联系一下,"在$抖音火山版$中联系商城飞盘订单的店铺客服
  在$阿里巴巴$中联系商城飞盘订单的店铺客服","完成
完成",好的,"抖音火山版
 阿里巴巴","客服
客服","在抖音火山版中联系商城<订单>订单的店铺客服
在阿里巴巴中联系<订单>订单的店铺客服",,,,,,,,,,,,,,,
单轮-多任务,1,打开京东和天猫的国家补贴页面,"在$京东$中打开国家补贴页面
  在$天猫$中打开国家补贴页面","完成
完成",好的,"京东
 天猫","打开
打开","在京东中查看国家补贴页面
在天猫中查看国家补贴",,,,,,,,,,,,,,,
单轮-多任务,1,马上打开京东进行一键保价，唯品会也需要,"在$京东$中进行一键保价
  在$唯品会$中进行一键保价","完成
完成",好的,"京东
 唯品会","客服
客服","在京东中进行一键保价
在唯品会中打开价格保护",,,,,,,,,,,,,,,
单轮-多任务,1,帮我在京东筛选未支付的订单，再看一下阿里巴巴的,"在$京东$中筛选未支付的订单
  在$阿里巴巴$中筛选未支付的订单","完成
完成",好的,"京东
 阿里巴巴","订单
订单","在京东中筛选<筛选条件>的订单
在阿里巴巴中筛选<筛选条件>订单",,,,,,,,,,,,,,,
单轮-多任务,1,给我在抖音商城下单5箱旺仔牛奶，快手商城也下单五箱,"在$抖音$中的商城下单5箱旺仔牛奶
  在$快手$中的商城下单5箱旺仔牛奶","完成
完成",好的,"抖音
 快手","下单
下单","在抖音的商城中下单<数量>的<搜索内容>
在快手的商城中下单<数量>的<搜索内容>",,,,,,,,,,,,,,,
单轮-多任务,1,现在去抖音商城和快手商城分别下单小面包送到广西,"在$抖音$中的商城下单小面包送到广西
  在$快手$中的商城下单小面包送到广西","完成
完成",好的,"抖音
 快手","下单
下单","在抖音的商城中下单<搜索内容>送至<地址>
在快手的商城中下单<搜索内容>送至<地址>",,,,,,,,,,,,,,,
单轮-多任务,1,去抖音商城用微信支付下单笨鸡蛋，再去快手商城下单,"在$抖音$中的商城使用微信支付下单笨鸡蛋
  在$快手$中的商城使用微信支付下单笨鸡蛋","完成
完成",好的,"抖音
 快手","下单
下单","在抖音的商城中用<支付方式>下单<搜索内容>
在快手的商城中用<支付方式>下单<搜索内容>",,,,,,,,,,,,,,,
单轮-多任务,1,我要在抖音商城和快手商城下单5包精装的鱿鱼丝用支付宝支付送到海南,"在$抖音$中的商城下单5包精装的鱿鱼丝使用支付宝支付送到海南
  在$快手$中的商城下单5包精装的鱿鱼丝使用支付宝支付送到海南","完成
完成",好的,"抖音
 快手","下单
下单","在抖音的商城中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>
在快手的商城中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>",,,,,,,,,,,,,,,
单轮-多任务,1,给我去抖音商城收藏下手链，快手商城也收藏一下,"在$抖音$中的商城收藏手链
  在$快手$中的商城收藏手链","完成
完成",好的,"抖音
 快手","收藏
收藏","在抖音的商城中收藏<搜索内容>
在快手的商城中收藏<搜索内容>",,,,,,,,,,,,,,,
单轮-多任务,1,在快手商城的小米专卖店搜下小米充电宝，再去快手极速版商城和抖音极速版商城搜下,"在$快手$中的商城的小米专卖店搜索小米充电宝
  在$快手极速版$中的商城的小米专卖店搜索小米充电宝
  在$抖音极速版$中的商城的小米专卖店搜索小米充电宝","完成
完成
完成",好的,"快手
 快手极速版
 抖音极速版","打开
打开
打开","在快手中商城中的<店铺名>店铺内搜索<搜索内容>
在快手极速版中商城中的<店铺名>店铺内搜索<搜索内容>
在抖音极速版中商城中的<店铺名>店铺内搜索<搜索内容>",,,,,,,,,,,,,,,
单轮-多任务,1,联系天猫ps5店铺的店铺客服还有抖音火山版和阿里巴巴的,"在$天猫$中的ps5店铺联系店铺客服
  在$抖音火山版$中的ps5店铺联系店铺客服
  在$阿里巴巴$中的ps5店铺联系店铺客服","完成
完成
完成",好的,"天猫
 抖音火山版
 阿里巴巴","客服
客服
客服","在天猫中联系<店铺>店铺的店铺客服
在抖音火山版中联系商城<店铺>店铺的店铺客服
在阿里巴巴中联系<店铺>店铺的店铺客服",,,,,,,,,,,,,,,
单轮-多任务,1,分别打开我转转得物和唯品会收藏的拖鞋,"在$转转$中打开我收藏的拖鞋
  在$得物$中打开我收藏的拖鞋
  在$唯品会$中打开我收藏的拖鞋","完成
完成
完成",好的,"转转
 得物
 唯品会","收藏
收藏
收藏","在转转中收藏<搜索内容>
在得物中收藏<搜索内容>
在唯品会中收藏<搜索内容>",,,,,,,,,,,,,,,
单轮-多任务,1,去快手的商城给我下单菜刀还有小码的鞋套和一箱可口可乐,"在$快手$中的商城下单菜刀
  在$快手$中的商城下单小码的鞋套
  在$快手$中的商城下单一箱可口可乐","完成
完成
完成",好的,"快手
 快手
 快手","下单
下单
下单","在快手的商城中下单<搜索内容>
在快手的商城中下单<规格>的<搜索内容>
在快手的商城中下单<数量>的<搜索内容>",,,,,,,,,,,,,,,
单轮-多任务,1,打开我的淘宝催下护肤水订单发货再催一下面膜的配送还有帮我确认下洗发水订单收货,"在$淘宝$中催护肤水订单发货
  在$淘宝$中催面膜的配送
  在$淘宝$中确认洗发水订单收货","完成
完成
完成",好的,"淘宝
 淘宝
 淘宝","物流
物流
物流","在淘宝中给<搜索内容>订单催发货
在淘宝中给<搜索内容>订单催配送
在淘宝中给<搜索内容>订单确认收货",,,,,,,,,,,,,,,
单轮-多任务,1,帮我在转转中看下已卖的关闭订单再看下得物里面的退款订单,"在$转转$中查看卖出的已关闭订单
  在$得物$中查看退款/售后订单","完成
完成",好的,"转转
 得物","订单
订单","在转转中查看卖出的已关闭订单
在得物中查看退款/售后订单",,,,,,,,,,,,,,,
单轮-多任务,1,在转转里面看下已完成的订单顺便看下得物待评价的订单,"在$转转$中查看卖出的已完成订单
  在$得物$中查看待评价订单","完成
完成",好的,"转转
 得物","订单
订单","在转转中查看卖出的已完成订单
在得物中查看待评价订单",,,,,,,,,,,,,,,
单轮-多任务,1,使用抖音火山版拍照功能再去看下阿里巴巴我收藏中的降价商品,"在$抖音火山版$中的商城使用拍照搜索功能
  在$阿里巴巴$中查看收藏的降价商品","完成
完成",好的,"抖音火山版
 阿里巴巴","搜索
收藏","在抖音火山版的商城中使用拍照搜索功能
在阿里巴巴中查看收藏中的降价商品",,,,,,,,,,,,,,,
单轮-多任务,1,帮我看抖音火山版商城的运送中物流并到阿里巴巴看下退款,"在$抖音火山版$中的商城查看运送中物流
  在$阿里巴巴$中查看退款/售后订单","完成
完成",好的,"抖音火山版
 阿里巴巴","物流
订单","在抖音火山版的商城中查看运送中物流
在阿里巴巴中查看退款/售后订单",,,,,,,,,,,,,,,
单轮-多任务,1,打开阿里巴巴拍照搜索顺便去唯品会看下降价商品,"在$阿里巴巴$中使用拍照搜索功能
  在$唯品会$中查看我的收藏中的降价商品","完成
完成",好的,"阿里巴巴
 唯品会","搜索
收藏","在阿里巴巴中使用拍照搜索功能
在唯品会中查看我的收藏中的降价商品",,,,,,,,,,,,,,,
单轮-多任务,1,去抖音火山版看下派送物流再去阿里巴巴看下我购物车里面的商品,"在$抖音火山版$中的商城查看派送中物流
  在$阿里巴巴$中查看采购车中的现货商品","完成
完成",好的,"抖音火山版
 阿里巴巴","物流
购物车","在抖音火山版的商城中查看派送中物流
在阿里巴巴中查看采购车中的现货商品",,,,,,,,,,,,,,,
单轮-多任务,1,帮我看下抖音火山版待取件商品再去阿里巴巴查下收藏里面的补货,"在$抖音火山版$中的商城查看待取件物流
  在$阿里巴巴$中查看收藏的低价补货商品","完成
完成",好的,"抖音火山版
 阿里巴巴","物流
订单","在抖音火山版的商城中查看待取件物流
在阿里巴巴中查看收藏中的低价补货商品",,,,,,,,,,,,,,,
单轮-多任务,1,看下阿里巴巴收藏里我买的商品还有唯品会收藏里面的有货商品,"在$阿里巴巴$中查看收藏的买过商品
  在$唯品会$中查看我的收藏的有货商品","完成
完成",好的,"阿里巴巴
 唯品会","收藏
收藏","在阿里巴巴中查看收藏中的买过商品
在唯品会中查看我的收藏中的有货商品",,,,,,,,,,,,,,,
单轮-多任务,1,查闲鱼里我卖的待付款订单还有唯品会收藏的失效商品,"在$闲鱼$中查看我卖出的待付款订单
  在$唯品会$中查看我的收藏中的已失效商品","完成
完成",好的,"闲鱼
 唯品会","订单
收藏","在闲鱼中查看我卖出的待付款订单
在唯品会中查看我的收藏中的已失效商品",,,,,,,,,,,,,,,
单轮-多任务,1,看下闲鱼里我卖出的待发货订单和抖音火山版商城里待支付订单,"在$闲鱼$中查看我卖出的待发货订单
  在$抖音火山版$中的商城查看待支付订单","完成
完成",好的,"闲鱼
 抖音火山版","订单
订单","在闲鱼中查看我卖出的待发货订单
在抖音火山版的商城中查看待支付订单",,,,,,,,,,,,,,,
单轮-多任务,1,闲鱼里看下我卖出的退款订单还有抖音火山版售后订单然后再去快手极速版商场里看下待评价的订单,"在$闲鱼$中查看我卖出的退款中订单
  在$抖音火山版$中的商城查看售后订单
  在$快手极速版$中的商城查看待评价订单","完成
完成
完成",好的,"闲鱼
 抖音火山版
 快手极速版","订单
订单
订单","在闲鱼中查看我卖出的退款中订单
在抖音火山版的商城中查看售后订单
在快手极速版的商城中查看待评价订单",,,,,,,,,,,,,,,
单轮-多任务,1,查天猫收藏里降价商品和闲鱼里我发布的草稿商品,"在$天猫$中查看收藏夹中的降价商品
  在$闲鱼$中查看我发布的草稿商品","完成
完成",好的,"天猫
 闲鱼","收藏
订单","在天猫中查看收藏夹中的降价商品
在闲鱼中查看我发布的草稿商品",,,,,,,,,,,,,,,
单轮-多任务,1,打开唯品会拍照搜索再去得物看下待收货订单,"在$唯品会$中使用拍照搜索功能
  在$得物$中查看待收货订单","完成
完成",好的,"唯品会
 得物","搜索
订单","在唯品会中使用拍照搜索功能
在得物中查看待收货订单",,,,,,,,,,,,,,,
单轮-多任务,1,清除得物搜索历史再去看转转我的订单,"在$得物$中清除搜索历史
  在$转转$中查看我的订单","完成
完成",好的,"得物
 转转","搜索
订单","在得物中清除搜索历史
在转转中查看我的订单",,,,,,,,,,,,,,,
单轮-多任务,1,看唯品会退换货订单和转转里面退款订单,"在$唯品会$中查看退换售后订单
  在$转转$中查看退款售后订单","完成
完成",好的,"唯品会
 转转","订单
订单","在唯品会中查看退换售后订单
在转转中查看退款售后订单",,,,,,,,,,,,,,,
单轮-多任务,1,看下唯品会购物车近期添加然后打开得物拍照搜索,"在$唯品会$中查看购物车中的近期加购商品
  在$得物$中使用拍照搜索功能","完成
完成",好的,"唯品会
 得物","购物车
搜索","在唯品会中查看购物车中的近期加购商品
在得物中使用拍照搜索功能",,,,,,,,,,,,,,,
单轮-多任务,1,每天去得物签到顺便去转转看未完结的退款售后,"在$得物$中进行每日签到
  在$转转$中查看未完结的退款售后订单","完成
完成",好的,"得物
 转转","签到
订单","在得物中进行每日签到
在转转中查看未完结的退款售后订单",,,,,,,,,,,,,,,
单轮-多任务,1,看下唯品会购物车的降价商品还有转转里待评价的售后订单,"在$唯品会$中查看购物车中的降价商品
  在$转转$中查看待评价的退款售后订单","完成
完成",好的,"唯品会
 转转","订单
订单","在唯品会中查看购物车中的降价商品
在转转中查看待评价的退款售后订单",,,,,,,,,,,,,,,
单轮-多任务,1,去阿里巴巴购物车看下我的常购商品再去转转看我发布的商品,"在$阿里巴巴$中查看采购车中的常购商品
  在$转转$中查看我发布的商品","完成
完成",好的,"阿里巴巴
 转转","购物车
订单","在阿里巴巴中查看采购车中的常购商品
在转转中查看我发布的商品",,,,,,,,,,,,,,,
单轮-多任务,1,查我唯品会购物车的有货商品还有转转卖出的订单,"在$唯品会$中查看购物车中的有货商品
  在$转转$中查看卖出的订单","完成
完成",好的,"唯品会
 转转","购物车
订单","在唯品会中查看购物车中的有货商品
在转转中查看卖出的订单",,,,,,,,,,,,,,,
单轮-多任务,1,帮我看下抖音火山版已签收和转转已卖出订单物流,"在$抖音火山版$中的商城查看已签收物流
  在$转转$中查看我的卖出订单物流","完成
完成",好的,"抖音火山版
 转转","物流
物流","在抖音火山版的商城中查看已签收物流
在转转中查看我的卖出订单物流",,,,,,,,,,,,,,,
单轮-多任务,1,去抖音火山版看下订单物流并去转转看下已卖出进行中的订单,"在$抖音火山版$中的商城查看订单物流
  在$转转$中查看卖出的进行中订单","完成
完成",好的,"抖音火山版
 转转","物流
订单","在抖音火山版的商城中查看订单物流
在转转中查看卖出的进行中订单",,,,,,,,,,,,,,,
单轮-多任务,1,去闲鱼看下我买的退款中订单和阿里巴巴购物车代发商品,"在$闲鱼$中查看我买的退款中订单
  在$阿里巴巴$中查看采购车中的代发商品","完成
完成",好的,"闲鱼
 阿里巴巴","订单
购物车","在闲鱼中查看我买的退款中订单
在阿里巴巴中查看采购车中的代发商品",,,,,,,,,,,,,,,
单轮-多任务,1,看天猫退款订单还有抖音火山版待评价订单,"在$天猫$中查看退款/售后订单
  在$抖音火山版$中的商城查看待评价订单","完成
完成",好的,"天猫
 抖音火山版","订单
订单","在天猫中查看退款/售后订单
在抖音火山版的商城中查看待评价订单",,,,,,,,,,,,,,,
单轮-多任务,1,去京东看售后订单再去闲鱼看下我卖出的待收货订单,"在$京东$中查看退换/售后订单
  在$闲鱼$中查看我卖出的待收货订单","完成
完成",好的,"京东
 闲鱼","订单
订单","在京东中查看退换/售后订单
在闲鱼中查看我卖出的待收货订单",,,,,,,,,,,,,,,
单轮-多任务,1,清除天猫搜索历史再去闲鱼查下我收藏的降价宝贝,"在$天猫$中清除搜索历史
  在$闲鱼$中查看我收藏的降价宝贝","完成
完成",好的,"天猫
 闲鱼","搜索
收藏","在天猫中清除搜索历史
在闲鱼中查看我收藏的降价宝贝",,,,,,,,,,,,,,,
单轮-多任务,1,帮我看下闲鱼发布的已下架商品然后再看下抖音火山版购物车的降价商品,"在$闲鱼$中查看我发布的已下架商品
  在$抖音火山版$中查看购物车中的降价商品","完成
完成",好的,"闲鱼
 抖音火山版","订单
购物车","在闲鱼中查看我发布的已下架商品
在抖音火山版中查看购物车中的降价商品",,,,,,,,,,,,,,,
单轮-多任务,1,管理下京东的发票抬头顺便查抖音火山版待收货订单,"在$京东$中管理发票抬头
  在$抖音火山版$中的商城查看待收货订单","完成
完成",好的,"京东
 抖音火山版","发票
订单","在京东中管理发票抬头
在抖音火山版的商城中查看待收货订单",,,,,,,,,,,,,,,
单轮-多任务,1,京东里查看收藏的降价商品然后打开天猫的拍照搜索,"在$京东$中查看商品收藏中的降价商品
  在$天猫$中使用拍照搜索功能","完成
完成",好的,"京东
 天猫","收藏
搜索","在京东中查看商品收藏中的降价商品
在天猫中使用拍照搜索功能",,,,,,,,,,,,,,,
单轮-多任务,1,帮我查闲鱼我买的代发货订单再去抖音火山版看下代发货订单,"在$闲鱼$中查看我买的待评价订单
  在$抖音火山版$中的商城查看待发货订单","完成
完成",好的,"闲鱼
 抖音火山版","订单
订单","在闲鱼中查看我买的待评价订单
在抖音火山版的商城中查看待发货订单",,,,,,,,,,,,,,,
