tag,大类,app,query,plan（在xx中做什么）,指令,ground_truth_tool
多任务,"购物-搜索
购物-收藏","阿里巴巴
 唯品会",打开阿里巴巴拍照搜索顺便去唯品会看我的收藏中下降价商品,"在阿里巴巴中使用拍照搜索功能
  在唯品会中查看我的收藏中的下降价商品","在阿里巴巴中使用拍照搜索功能
在唯品会中查看我的收藏中的降价商品","[{""name"": ""open_camera_search(app)"", ""description"": ""打开app程序的图片搜索功能""}, {""name"": ""open_favorite_goods(app, filter_type, filter_detail_slot, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面,并按照条件进行筛选""}]"
多任务,"购物-物流
购物-购物车","抖音火山版
 阿里巴巴",去抖音火山版看下派送物流再去阿里巴巴看下我购物车里面的现货商品,"在抖音火山版中的商城查看派送物流
  在阿里巴巴中查看采购车中的现货商品","在抖音火山版的商城中查看派送中物流
在阿里巴巴中查看采购车中的现货商品","[{""name"": ""open_logistics_receive(app, filter_type)"", ""description"": ""打开显示已购商品信息的界面,查看相关物流信息,并根据物流情况进行筛选""}, {""name"": ""open_cart_content(app, filter_type, filter_detail_slot)"", ""description"": ""在app应用程序中查看购物车/采购车(阿里巴巴的叫法)指定类型的商品""}]"
多任务,"购物-物流
购物-收藏","抖音火山版
 阿里巴巴",帮我看下抖音火山版待取件商品再去阿里巴巴查下收藏里面的补货,"在抖音火山版中的商城查看待取件商品
  在阿里巴巴中查看收藏里的补货","在抖音火山版的商城中查看待取件物流
在阿里巴巴中查看收藏中的低价补货商品","[{""name"": ""open_logistics_receive(app, filter_type)"", ""description"": ""打开显示已购商品信息的界面,查看相关物流信息,并根据物流情况进行筛选""}, {""name"": ""open_favorite_goods(app, filter_type, filter_detail_slot, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面,并按照条件进行筛选""}]"
多任务,"购物-收藏
购物-收藏","阿里巴巴
 唯品会",看下阿里巴巴收藏里我买的商品还有唯品会收藏里面的有货商品,"在阿里巴巴中查看收藏的买过商品
  在唯品会中查看我的收藏的有货商品","在阿里巴巴中查看收藏中的买过商品
在唯品会中查看我的收藏中的有货商品","[{""name"": ""open_favorite_goods(app, filter_type, filter_detail_slot, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面,并按照条件进行筛选""}, {""name"": ""open_favorite_goods(app, filter_type, filter_detail_slot, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面,并按照条件进行筛选""}]"
多任务,"购物-订单
购物-收藏","闲鱼
 唯品会",查闲鱼里我卖的待付款订单还有唯品会收藏的失效商品,"在闲鱼中查看我卖出的待付款订单
  在唯品会中查看我的收藏中的已失效商品","在闲鱼中查看我卖出的待付款订单
在唯品会中查看我的收藏中的已失效商品","[{""name"": ""open_orders_sold(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看自己售卖的指定状态的订单列表,例如待付款、待收货、待评价等。""}, {""name"": ""open_favorite_goods(app, filter_type, filter_detail_slot, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面,并按照条件进行筛选""}]"
多任务,"购物-订单
购物-订单","闲鱼
 抖音火山版",看下闲鱼里我卖出的待发货订单和抖音火山版商城里待支付订单,"在闲鱼中查看我卖出的待发货订单
  在抖音火山版中的商城查看待支付订单","在闲鱼中查看我卖出的待发货订单
在抖音火山版的商城中查看待支付订单","[{""name"": ""open_orders_sold(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看自己售卖的指定状态的订单列表,例如待付款、待收货、待评价等。""}, {""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-订单
购物-订单
购物-订单","闲鱼
 抖音火山版
 快手极速版",闲鱼里看下我卖出的退款订单还有抖音火山版售后订单然后再去快手极速版商场里看下待评价的订单,"在闲鱼中查看我卖出的退款中订单
  在抖音火山版中的商城查看售后订单
  在快手极速版中的商城查看待评价订单","在闲鱼中查看我卖出的退款中订单
在抖音火山版的商城中查看售后订单
在快手极速版的商城中查看待评价订单","[{""name"": ""open_orders_sold(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看自己售卖的指定状态的订单列表,例如待付款、待收货、待评价等。""}, {""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}, {""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-收藏
购物-订单","天猫
 闲鱼",查天猫收藏里降价商品和闲鱼里我发布的草稿商品,"在天猫中查看收藏夹中的降价商品
  在闲鱼中查看我发布的草稿商品","在天猫中查看收藏夹中的降价商品
在闲鱼中查看我发布的草稿商品","[{""name"": ""open_favorite_goods(app, filter_type, filter_detail_slot, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面,并按照条件进行筛选""}, {""name"": ""open_orders_release(app, order_status)"", ""description"": ""在app应用程序中查看自己发布的指定状态的订单列表,例如在卖、草稿、已下架等。""}]"
多任务,"购物-搜索
购物-订单","唯品会
 得物",打开唯品会拍照搜索再去得物看下待收货订单,"在唯品会中使用拍照搜索功能
  在得物中查看待收货订单","在唯品会中使用拍照搜索功能
在得物中查看待收货订单","[{""name"": ""open_camera_search(app)"", ""description"": ""打开app程序的图片搜索功能""}, {""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-搜索
购物-订单","得物
 转转",清除得物搜索历史再去看转转我的订单,"在得物中清除搜索历史
  在转转中查看我的订单","在得物中清除搜索历史
在转转中查看我的订单","[{""name"": ""delete_search_history(app)"", ""description"": ""清除app中的搜索历史""}, {""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-订单
购物-订单","唯品会
 转转",看唯品会退换货订单和转转里面退款订单,"在唯品会中查看退换货订单
  在转转中查看退款订单","在唯品会中查看退换售后订单
在转转中查看退款售后订单","[{""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}, {""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-购物车
购物-搜索","唯品会
 得物",看下唯品会购物车近期添加商品然后打开得物拍照搜索,"在唯品会中查看购物车中的近期加购商品
  在得物中使用拍照搜索功能","在唯品会中查看购物车中的近期加购商品
在得物中使用拍照搜索功能","[{""name"": ""open_cart_content(app, filter_type, filter_detail_slot)"", ""description"": ""在app应用程序中查看购物车/采购车(阿里巴巴的叫法)指定类型的商品""}, {""name"": ""open_camera_search(app)"", ""description"": ""打开app程序的图片搜索功能""}]"
多任务,"购物-签到
购物-订单","得物
 转转",每天去得物签到顺便去转转看未完结的退款售后,"在得物中进行签到
  在转转中查看未完结的退款售后","在得物中进行每日签到
在转转中查看未完结的退款售后订单","[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到,领取积分、金币等奖励的操作""}, {""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-购物车
购物-订单","唯品会
 转转",看下唯品会购物车的降价商品还有转转里待评价的售后订单,"在唯品会中查看购物车中的降价商品
  在转转中查看待评价的售后订单","在唯品会中查看购物车中的降价商品
在转转中查看待评价的退款售后订单","[{""name"": ""open_cart_content(app, filter_type, filter_detail_slot)"", ""description"": ""在app应用程序中查看购物车/采购车(阿里巴巴的叫法)指定类型的商品""}, {""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-购物车
购物-订单","阿里巴巴
 转转",去阿里巴巴购物车看下我的常购商品再去转转看我发布的商品,"在阿里巴巴中查看采购车中的常购商品
  在转转中查看我发布的商品","在阿里巴巴中查看采购车中的常购商品
在转转中查看我发布的商品","[{""name"": ""open_cart_content(app, filter_type, filter_detail_slot)"", ""description"": ""在app应用程序中查看购物车/采购车(阿里巴巴的叫法)指定类型的商品""}, {""name"": ""open_orders_release(app, order_status)"", ""description"": ""在app应用程序中查看自己发布的指定状态的订单列表,例如在卖、草稿、已下架等。""}]"
多任务,"购物-购物车
购物-订单","唯品会
 转转",查我唯品会购物车的有货商品还有转转卖出的订单,"在唯品会中查看购物车中的有货商品
  在转转中查看卖出的订单","在唯品会中查看购物车中的有货商品
在转转中查看卖出的订单","[{""name"": ""open_cart_content(app, filter_type, filter_detail_slot)"", ""description"": ""在app应用程序中查看购物车/采购车(阿里巴巴的叫法)指定类型的商品""}, {""name"": ""open_orders_sold(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看自己售卖的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-物流
购物-物流","抖音火山版
 转转",帮我看下抖音火山版已签收和转转已卖出订单物流,"在抖音火山版中的商城查看已签收物流
  在转转中查看我的卖出订单物流","在抖音火山版的商城中查看已签收物流
在转转中查看我的卖出订单物流","[{""name"": ""open_logistics_receive(app, filter_type)"", ""description"": ""打开显示已购商品信息的界面,查看相关物流信息,并根据物流情况进行筛选""}, {""name"": ""open_logistics_send(app, filter_type)"", ""description"": ""打开显示已售商品信息的界面,查看相关物流信息,并根据物流情况进行筛选""}]"
多任务,"购物-物流
购物-订单","抖音火山版
 转转",去抖音火山版看下订单物流并去转转看下已卖出进行中的订单,"在抖音火山版中的商城查看订单物流
  在转转中查看卖出的进行中订单","在抖音火山版的商城中查看订单物流
在转转中查看卖出的进行中订单","[{""name"": ""open_logistics_receive(app, filter_type)"", ""description"": ""打开显示已购商品信息的界面,查看相关物流信息,并根据物流情况进行筛选""}, {""name"": ""open_orders_sold(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看自己售卖的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-订单
购物-购物车","闲鱼
 阿里巴巴",去闲鱼看下我买的退款中订单和阿里巴巴购物车待发商品,"在闲鱼中查看我买的退款中订单
  在阿里巴巴中查看采购车中的待发商品","在闲鱼中查看我买的退款中订单
在阿里巴巴中查看采购车中的代发商品","[{""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}, {""name"": ""open_cart_content(app, filter_type, filter_detail_slot)"", ""description"": ""在app应用程序中查看购物车/采购车(阿里巴巴的叫法)指定类型的商品""}]"
多任务,"购物-订单
购物-订单","天猫
 抖音火山版",看天猫退款订单还有抖音火山版待评价订单,"在天猫中查看退款订单
  在抖音火山版中的商城查看待评价订单","在天猫中查看退款/售后订单
在抖音火山版的商城中查看待评价订单","[{""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}, {""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-订单
购物-订单","京东
 闲鱼",去京东看售后订单再去闲鱼看下我卖出的待收货订单,"在京东中查看售后订单
  在闲鱼中查看我卖出的待收货订单","在京东中查看退换/售后订单
在闲鱼中查看我卖出的待收货订单","[{""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}, {""name"": ""open_orders_sold(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看自己售卖的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-搜索
购物-收藏","天猫
 闲鱼",清除天猫搜索历史再去闲鱼查下我收藏的降价宝贝,"在天猫中清除搜索历史
  在闲鱼中查看我收藏的降价宝贝","在天猫中清除搜索历史
在闲鱼中查看我收藏的降价宝贝","[{""name"": ""delete_search_history(app)"", ""description"": ""清除app中的搜索历史""}, {""name"": ""open_favorite_goods(app, filter_type, filter_detail_slot, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面,并按照条件进行筛选""}]"
多任务,"购物-订单
购物-购物车","闲鱼
 抖音火山版",帮我看下闲鱼发布的已下架商品然后再看下抖音火山版购物车的降价商品,"在闲鱼中查看我发布的已下架商品
  在抖音火山版中查看购物车中的降价商品","在闲鱼中查看我发布的已下架商品
在抖音火山版中查看购物车中的降价商品","[{""name"": ""open_orders_release(app, order_status)"", ""description"": ""在app应用程序中查看自己发布的指定状态的订单列表,例如在卖、草稿、已下架等。""}, {""name"": ""open_cart_content(app, filter_type, filter_detail_slot)"", ""description"": ""在app应用程序中查看购物车/采购车(阿里巴巴的叫法)指定类型的商品""}]"
多任务,"购物-发票
购物-订单","京东
 抖音火山版",管理下京东的发票抬头顺便查抖音火山版待收货订单,"在京东中管理发票抬头
  在抖音火山版中的商城查看待收货订单","在京东中管理发票抬头
在抖音火山版的商城中查看待收货订单","[{""name"": ""open_invoice_page(app, page_type)"", ""description"": ""在app应用程序中打开与发票相关的页面""}, {""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-收藏
购物-搜索","京东
 天猫",京东里查看收藏的降价商品然后打开天猫的拍照搜索,"在京东中查看商品收藏中的降价商品
  在天猫中使用拍照搜索功能","在京东中查看商品收藏中的降价商品
在天猫中使用拍照搜索功能","[{""name"": ""open_favorite_goods(app, filter_type, filter_detail_slot, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面,并按照条件进行筛选""}, {""name"": ""open_camera_search(app)"", ""description"": ""打开app程序的图片搜索功能""}]"
多任务,"购物-订单
购物-订单","闲鱼
 抖音火山版",帮我查闲鱼我买的待发货订单再去抖音火山版看下待发货订单,"在闲鱼中查看我买的待发货订单
  在抖音火山版中的商城查看待发货订单","在闲鱼中查看我买的待评价订单
在抖音火山版的商城中查看待发货订单","[{""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}, {""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-订单
购物-搜索","闲鱼
 抖音火山版",查以下闲鱼的待发货订单顺便清除抖音火山版的搜索历史,"在闲鱼中查看待发货订单
  在抖音火山版中清除搜索历史","在闲鱼中查看我买的待发货订单
在抖音火山版的商城中清除搜索历史","[{""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}, {""name"": ""delete_search_history(app)"", ""description"": ""清除app中的搜索历史""}]"
多任务,"购物-购物车
购物-搜索","京东
 抖音火山版",查看京东购物车的跨店满减商品然后看下抖音火山版的搜索历史,"在京东中查看购物车中的跨店满减商品
  在抖音火山版中查看搜索历史","在京东中查看购物车中的跨店满减商品
在抖音火山版的商城中查看搜索历史","[{""name"": ""open_cart_content(app, filter_type, filter_detail_slot)"", ""description"": ""在app应用程序中查看购物车/采购车(阿里巴巴的叫法)指定类型的商品""}, {""name"": ""open_search_history(app)"", ""description"": ""打开app程序的搜索历史界面""}]"
多任务,"购物-订单
购物-订单","闲鱼
 抖音火山版",帮我看看闲鱼的我买的全部订单还有抖音火山版的我的订单,"在闲鱼中查看我买的全部订单
  在抖音火山版中查看我的订单","在闲鱼中查看我买的全部订单
在抖音火山版的商城中查看我的订单","[{""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}, {""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-搜索
购物-订单","京东
 闲鱼",使用京东拍照搜索再看下闲鱼我买的待付款订单,"在京东中使用拍照搜索功能
  在闲鱼中查看我买的待付款订单","在京东中使用拍照搜索功能
在闲鱼中查看我买的待付款订单","[{""name"": ""open_camera_search(app)"", ""description"": ""打开app程序的图片搜索功能""}, {""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-收藏
购物-订单","京东
 闲鱼",查下京东收藏的促销商品再去闲鱼查我卖出的订单,"在京东中查看商品收藏中的促销商品
  在闲鱼中查看我卖出的订单","在京东中查看商品收藏中的促销商品
在闲鱼中查看我卖出的订单","[{""name"": ""open_favorite_goods(app, filter_type, filter_detail_slot, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面,并按照条件进行筛选""}, {""name"": ""open_orders_sold(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看自己售卖的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-收藏
购物-订单","京东
 闲鱼",帮我看下京东收藏里面的下架商品还有闲鱼里我买的待收货订单,"在京东中查看收藏中的下架商品
  在闲鱼中查看我买的待收货订单","在京东中查看商品收藏中的下架商品
在闲鱼中查看我买的待收货订单","[{""name"": ""open_favorite_goods(app, filter_type, filter_detail_slot, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面,并按照条件进行筛选""}, {""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-搜索
购物-订单","抖音火山版
 闲鱼",帮我搜下抖音火山版荣耀商城手机按价格从高到低排序再去看下我闲鱼的我买的订单,"在抖音火山版中搜索荣耀手机按价格从高到低排序
  在闲鱼中查看我买的订单","在抖音火山版的商城中搜索<搜索内容>按价格从高到低排序
在闲鱼中查看我买的订单","[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}, {""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-搜索
购物-搜索","阿里巴巴
 京东",搜索阿里巴巴我收藏的外套商品顺便把京东的搜索记录清除,"在阿里巴巴中搜索收藏的外套
  在京东中清除搜索历史","在阿里巴巴的收藏中搜索<搜索内容>
在京东中清除搜索历史","[{""name"": ""search_in_favorite_goods(app, search_info_slot)"", ""description"": ""在app程序中打开收藏的、喜爱、想要或关注商品的页面,并在其中的搜索栏中进行搜索""}, {""name"": ""delete_search_history(app)"", ""description"": ""清除app中的搜索历史""}]"
多任务,"购物-物流
购物-搜索","京东
 闲鱼",帮我看下京东待揽件快递然后打开闲鱼拍照搜索功能,"在京东中查看待揽件的快递
  在闲鱼中使用拍照搜索功能","在京东中查看待揽件的快递
在闲鱼中使用拍照搜索功能","[{""name"": ""open_logistics_receive(app, filter_type)"", ""description"": ""打开显示已购商品信息的界面,查看相关物流信息,并根据物流情况进行筛选""}, {""name"": ""open_camera_search(app)"", ""description"": ""打开app程序的图片搜索功能""}]"
多任务,"购物-物流
购物-订单","京东
 闲鱼",看下京东已揽件的寄件再去看看闲鱼里我卖出的全部订单,"在京东中查看已揽件的寄件
  在闲鱼中查看我卖出的全部订单","在京东中查看已揽件的寄件
在闲鱼中查看我卖出的全部订单","[{""name"": ""open_logistics_send(app, filter_type)"", ""description"": ""打开显示已售商品信息的界面,查看相关物流信息,并根据物流情况进行筛选""}, {""name"": ""open_orders_sold(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看自己售卖的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-购物车
购物-订单","京东
 闲鱼",查京东购物车的打算送礼的商品还有闲鱼我卖出的待评价订单,"在京东中查看购物车中的送礼商品
  在闲鱼中查看我卖出的待评价订单","在京东中查看购物车中的送礼商品
在闲鱼中查看我卖出的待评价订单","[{""name"": ""open_cart_content(app, filter_type, filter_detail_slot)"", ""description"": ""在app应用程序中查看购物车/采购车(阿里巴巴的叫法)指定类型的商品""}, {""name"": ""open_orders_sold(app, order_status, filter_detail_slot)"", ""description"": ""在app应用程序中查看自己售卖的指定状态的订单列表,例如待付款、待收货、待评价等。""}]"
多任务,"购物-搜索
购物-购物车","阿里巴巴
 京东",搜索阿里巴巴我关注的零食店铺再看下京东购物车里面的凑单商品,"在阿里巴巴中搜索我关注的零食店铺
  在京东中查看购物车中的凑单商品","在阿里巴巴的关注店铺中搜索<搜索内容>
在京东中查看购物车中的凑单商品","[{""name"": ""search_in_favorite_stores(app, search_info_slot)"", ""description"": ""在app程序中打开收藏的喜爱或关注店铺的页面,并在其中的搜索栏搜索商品""}, {""name"": ""open_cart_content(app, filter_type, filter_detail_slot)"", ""description"": ""在app应用程序中查看购物车/采购车(阿里巴巴的叫法)指定类型的商品""}]"
多任务,"购物-搜索
购物-物流","阿里巴巴
 京东",搜下阿里巴巴的苹果专卖店按综合给我排序最后在京东看下我运输中的快递,"在阿里巴巴中搜索苹果专卖店按综合排序
  在京东中查看运输中的快递","在阿里巴巴中搜索<搜索内容>店按综合排序
在京东中查看运输中的快递","[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""在app程序中依据名称搜索店铺,可以使用筛选器限制搜索结果,也可以指定搜索结果的排序方式""}, {""name"": ""open_logistics_receive(app, filter_type)"", ""description"": ""打开显示已购商品信息的界面,查看相关物流信息,并根据物流情况进行筛选""}]"
多任务,"购物-搜索
购物-搜索","唯品会
 得物",唯品会收藏里搜补水产品再去得物的想要里搜索篮球鞋,"在唯品会中搜索收藏的补水产品
  在得物中的想要搜索篮球鞋","在唯品会的收藏中搜索<搜索内容>
在得物的想要中搜索<搜索内容>","[{""name"": ""search_in_favorite_goods(app, search_info_slot)"", ""description"": ""在app程序中打开收藏的、喜爱、想要或关注商品的页面,并在其中的搜索栏中进行搜索""}, {""name"": ""search_in_favorite_goods(app, search_info_slot)"", ""description"": ""在app程序中打开收藏的、喜爱、想要或关注商品的页面,并在其中的搜索栏中进行搜索""}]"
多任务,"购物-搜索
购物-物流","唯品会购物车
 京东",帮我在唯品会中的购物车里搜化妆镜再去帮我看下京东还有哪些派送中快递,"在唯品会中的购物车里搜索化妆镜
  在京东中查看派送中的快递","在唯品会的购物车中搜索<搜索内容>
在京东中查看派送中的快递","[{""name"": ""search_cart_content(app, search_info_slot)"", ""description"": ""在app应用程序中查看购物车/采购车(阿里巴巴的叫法)查找商品""}, {""name"": ""open_logistics_receive(app, filter_type)"", ""description"": ""打开显示已购商品信息的界面,查看相关物流信息,并根据物流情况进行筛选""}]"
多任务,"购物-搜索
购物-收藏","抖音火山版
 京东",抖音火山版搜索爆米花零食按价格从低到高顺便去京东收藏里看下有货商品,"在抖音火山版中搜索爆米花零食按价格从低到高排序
  在京东中查看商品收藏中的有货商品","在抖音火山版的商城中搜索<搜索内容>按价格从低到高排序
在京东中查看商品收藏中的有货商品","[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}, {""name"": ""open_favorite_goods(app, filter_type, filter_detail_slot, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面,并按照条件进行筛选""}]"
多任务,"购物-物流
购物-搜索","淘宝
 阿里巴巴",淘宝里看下待取件快递后再去阿里巴巴搜下零食店铺按回头率高低排序,"在淘宝中查看待取件的快递
  在阿里巴巴中搜索零食店按回头率排序","在淘宝中查看待取件的快递
在阿里巴巴中搜索<搜索内容>店按回头率排序","[{""name"": ""open_logistics_receive(app, filter_type)"", ""description"": ""打开显示已购商品信息的界面,查看相关物流信息,并根据物流情况进行筛选""}, {""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""在app程序中依据名称搜索店铺,可以使用筛选器限制搜索结果,也可以指定搜索结果的排序方式""}]"
多任务,"购物-物流
购物-搜索","淘宝
 抖音火山版",看下淘宝中我的派送中快递然后再去抖音火山版商城里搜下我买的洗发水,"在淘宝中查看派送中的快递
  在抖音火山版中的商城搜索洗发水","在淘宝中查看派送中的快递
在抖音火山版的商城中搜索<搜索内容>","[{""name"": ""open_logistics_receive(app, filter_type)"", ""description"": ""打开显示已购商品信息的界面,查看相关物流信息,并根据物流情况进行筛选""}, {""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
多任务,"购物-搜索
购物-搜索","闲鱼
 抖音火山版",在闲鱼里搜下我买到的护手霜订单然后再去抖音火山版商城里搜索潮牌衣服店,"在闲鱼中搜索我买到的护手霜订单
  在抖音火山版中的商城搜索潮牌衣服店","在闲鱼中搜索我买到的<搜索内容>订单
在抖音火山版的商城中搜索<搜索内容>店","[{""name"": ""search_order(app, search_info_slot, order_status)"", ""description"": ""在app应用程序中搜索订单""}, {""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""在app程序中依据名称搜索店铺,可以使用筛选器限制搜索结果,也可以指定搜索结果的排序方式""}]"
多任务,"购物-搜索
购物-搜索","抖音火山版
 阿里巴巴",在抖音火山版里搜索平板按综合排序再去阿里巴巴里搜索洞洞鞋店铺按销量排序,"在抖音火山版中的商城搜索平板按综合排序
  在阿里巴巴中搜索洞洞鞋店按销量排序","在抖音火山版的商城中搜索<搜索内容>按综合排序
在阿里巴巴中搜索<搜索内容>店按销量排序","[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}, {""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""在app程序中依据名称搜索店铺,可以使用筛选器限制搜索结果,也可以指定搜索结果的排序方式""}]"
多任务,"购物-搜索
购物-搜索","京东
 抖音火山版",在京东里搜索保温杯自营店再去抖音火山版搜索附近美食店按销量排序,"在京东中搜索保温杯自营店
  在抖音火山版中搜索附近美食店按销量排序","在京东中搜索<搜索内容>店
在抖音火山版的商城中搜索<搜索内容>按销量排序","[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""在app程序中依据名称搜索店铺,可以使用筛选器限制搜索结果,也可以指定搜索结果的排序方式""}, {""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
